translation_fr_en,translation_es_en,translation_en_fr,translation_en_es,antonym,country-capital,translation_en_it,translation_it_en,present-past,to-eng,from-eng
0.1,0.08,0.14,0.12,0.24,0.14,0.04,0.04,0.0,0.08666666666666667,0.08666666666666667
0.12,0.08,0.12,0.12,0.24,0.16,0.04,0.06,0.0,0.09999999999999999,0.08
0.12,0.08,0.12,0.12,0.24,0.16,0.04,0.06,0.0,0.09999999999999999,0.08
0.1,0.08,0.14,0.1,0.24,0.16,0.06,0.06,0.0,0.08666666666666667,0.09333333333333334
0.12,0.1,0.16,0.08,0.28,0.14,0.04,0.08,0.0,0.09333333333333334,0.09999999999999999
0.1,0.1,0.16,0.12,0.28,0.16,0.04,0.08,0.0,0.09999999999999999,0.09999999999999999
0.08,0.08,0.14,0.12,0.28,0.16,0.04,0.12,0.0,0.10666666666666667,0.08666666666666667
0.08,0.06,0.16,0.12,0.22,0.16,0.04,0.12,0.0,0.10666666666666667,0.08666666666666667
0.1,0.08,0.2,0.16,0.24,0.14,0.04,0.1,0.0,0.12,0.10666666666666667
0.08,0.08,0.2,0.16,0.2,0.14,0.04,0.1,0.0,0.11333333333333333,0.10666666666666667
0.12,0.08,0.18,0.16,0.22,0.14,0.04,0.1,0.0,0.12666666666666668,0.09999999999999999
0.06,0.06,0.0,0.16,0.18,0.18,0.04,0.14,0.0,0.12,0.03333333333333333
0.08,0.08,0.0,0.16,0.22,0.18,0.04,0.12,0.0,0.12,0.04
0.1,0.06,0.0,0.16,0.3,0.2,0.02,0.12,0.02,0.12666666666666668,0.02666666666666667
0.08,0.08,0.02,0.16,0.08,0.22,0.04,0.06,0.04,0.09999999999999999,0.04666666666666667
0.12,0.12,0.0,0.02,0.1,0.18,0.02,0.02,0.0,0.05333333333333332,0.04666666666666666
0.12,0.16,0.0,0.02,0.06,0.2,0.0,0.0,0.0,0.04666666666666666,0.05333333333333334
0.16,0.14,0.0,0.02,0.08,0.2,0.0,0.0,0.0,0.06,0.04666666666666667
0.46,0.44,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.15333333333333335,0.14666666666666667
0.68,0.78,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.22666666666666668,0.26
0.5,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.16666666666666666,0.2333333333333333
0.34,0.5,0.02,0.0,0.0,0.68,0.0,0.0,0.0,0.11333333333333334,0.17333333333333334
0.02,0.06,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.006666666666666667,0.02
0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.013333333333333334
0.02,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334
0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334
0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334
0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334
0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.006666666666666667
0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.006666666666666667
