translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.1,0.14,0.08,0.04,0.0,0.04,0.14,0.04,0.32,0.08,0.05333333333333334
0.08,0.14,0.08,0.02,0.0,0.04,0.1,0.02,0.28,0.06,0.04666666666666667
0.02,0.14,0.06,0.04,0.0,0.02,0.14,0.0,0.22,0.05333333333333334,0.04
0.08,0.16,0.04,0.04,0.0,0.02,0.18,0.0,0.18,0.08666666666666667,0.03333333333333333
0.14,0.16,0.16,0.06,0.04,0.04,0.38,0.02,0.1,0.18666666666666668,0.08666666666666667
0.2,0.12,0.14,0.08,0.04,0.04,0.48,0.04,0.12,0.24,0.08666666666666667
0.24,0.12,0.12,0.06,0.02,0.06,0.44,0.02,0.12,0.2333333333333333,0.08
0.26,0.08,0.18,0.08,0.02,0.06,0.46,0.02,0.26,0.24666666666666667,0.10666666666666667
0.26,0.1,0.12,0.06,0.0,0.06,0.42,0.02,0.2,0.22666666666666666,0.08
0.6,0.14,0.4,0.1,0.16,0.08,0.28,0.1,0.38,0.3466666666666667,0.19333333333333333
0.68,0.26,0.0,0.06,0.28,0.14,0.02,0.08,0.46,0.3266666666666667,0.06666666666666667
0.62,0.28,0.02,0.04,0.04,0.1,0.02,0.06,0.14,0.22666666666666668,0.05333333333333334
0.28,0.42,0.02,0.04,0.0,0.1,0.02,0.02,0.0,0.10000000000000002,0.05333333333333334
0.0,0.2,0.0,0.04,0.0,0.12,0.02,0.02,0.0,0.006666666666666667,0.05333333333333334
0.0,0.0,0.02,0.04,0.0,0.1,0.02,0.02,0.04,0.006666666666666667,0.05333333333333334
0.0,0.04,0.0,0.04,0.0,0.1,0.02,0.02,0.0,0.006666666666666667,0.04666666666666667
0.0,0.0,0.0,0.02,0.0,0.1,0.02,0.02,0.0,0.006666666666666667,0.04
0.0,0.0,0.0,0.02,0.0,0.14,0.0,0.0,0.0,0.0,0.05333333333333334
0.04,0.0,0.0,0.02,0.0,0.22,0.0,0.0,0.0,0.013333333333333334,0.08
0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.02666666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
