translation_fr_en,translation_es_en,translation_en_fr,translation_en_es,antonym,country-capital,translation_en_it,translation_it_en,present-past,to-eng,from-eng
0.06,0.02,0.22,0.32,0.36,0.16,0.1,0.1,0.0,0.16,0.11333333333333333
0.06,0.04,0.22,0.3,0.36,0.18,0.12,0.08,0.0,0.14666666666666667,0.12666666666666668
0.12,0.14,0.16,0.42,0.36,0.2,0.12,0.1,0.0,0.21333333333333335,0.14
0.22,0.16,0.16,0.42,0.28,0.18,0.12,0.14,0.02,0.26,0.14666666666666667
0.24,0.24,0.26,0.5,0.3,0.2,0.12,0.22,0.0,0.32,0.20666666666666667
0.22,0.28,0.26,0.5,0.16,0.18,0.12,0.28,0.02,0.3333333333333333,0.22
0.24,0.22,0.34,0.48,0.44,0.22,0.18,0.22,0.1,0.3133333333333333,0.24666666666666667
0.26,0.18,0.32,0.46,0.42,0.18,0.2,0.18,0.02,0.3,0.2333333333333333
0.46,0.56,0.32,0.44,0.7,0.2,0.2,0.6,0.04,0.5,0.36000000000000004
0.66,0.74,0.34,0.46,0.72,0.22,0.2,0.68,0.0,0.6000000000000001,0.4266666666666667
0.7,0.78,0.34,0.48,0.7,0.22,0.18,0.72,0.02,0.6333333333333333,0.43333333333333335
0.62,0.78,0.38,0.44,0.74,0.28,0.16,0.76,0.06,0.6066666666666667,0.44
0.68,0.02,0.06,0.28,0.02,0.4,0.14,0.76,0.8,0.5733333333333334,0.07333333333333335
0.54,0.02,0.08,0.24,0.0,0.64,0.12,0.64,0.84,0.47333333333333333,0.07333333333333333
0.5,0.0,0.06,0.22,0.0,0.56,0.12,0.62,0.78,0.4466666666666666,0.06
0.52,0.02,0.06,0.22,0.0,0.52,0.12,0.52,0.56,0.42,0.06666666666666667
0.22,0.0,0.0,0.04,0.0,0.06,0.04,0.24,0.16,0.16666666666666666,0.013333333333333334
0.14,0.0,0.0,0.04,0.0,0.02,0.02,0.16,0.12,0.11333333333333334,0.006666666666666667
0.02,0.0,0.0,0.04,0.0,0.02,0.02,0.04,0.02,0.03333333333333333,0.006666666666666667
0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.013333333333333334,0.006666666666666667
0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.013333333333333334,0.006666666666666667
0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.04,0.0,0.02666666666666667,0.006666666666666667
0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.006666666666666667
0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.04,0.0,0.02,0.013333333333333334
0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.06,0.0,0.02666666666666667,0.013333333333333334
0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.04,0.0,0.02,0.006666666666666667
0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.013333333333333334,0.006666666666666667
0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.04,0.0,0.02,0.006666666666666667
