translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.1,0.3,0.1,0.06,0.06,0.04,0.04,0.02,0.24,0.06666666666666667,0.06666666666666667
0.12,0.32,0.08,0.12,0.06,0.04,0.04,0.02,0.18,0.07333333333333333,0.08
0.1,0.34,0.08,0.1,0.06,0.04,0.04,0.0,0.2,0.06666666666666667,0.07333333333333333
0.14,0.3,0.1,0.1,0.08,0.04,0.04,0.0,0.2,0.08666666666666667,0.08
0.1,0.32,0.1,0.08,0.1,0.06,0.08,0.02,0.22,0.09333333333333334,0.08
0.1,0.3,0.1,0.04,0.08,0.06,0.08,0.02,0.12,0.08666666666666667,0.06666666666666667
0.06,0.36,0.14,0.08,0.08,0.06,0.08,0.1,0.18,0.07333333333333335,0.09333333333333334
0.08,0.38,0.16,0.1,0.12,0.04,0.08,0.1,0.18,0.09333333333333334,0.09999999999999999
0.1,0.28,0.14,0.18,0.1,0.04,0.08,0.1,0.32,0.09333333333333334,0.12
0.08,0.3,0.14,0.22,0.1,0.06,0.06,0.18,0.44,0.08,0.13999999999999999
0.12,0.3,0.2,0.22,0.12,0.06,0.14,0.24,0.44,0.12666666666666668,0.16
0.24,0.34,0.22,0.2,0.1,0.04,0.16,0.18,0.52,0.16666666666666666,0.15333333333333335
0.3,0.32,0.28,0.22,0.14,0.06,0.28,0.24,0.5,0.24,0.18666666666666668
0.42,0.22,0.5,0.24,0.14,0.06,0.4,0.34,0.56,0.32,0.26666666666666666
0.56,0.28,0.7,0.22,0.14,0.08,0.64,0.38,0.78,0.4466666666666667,0.3333333333333333
0.54,0.28,0.68,0.18,0.14,0.08,0.62,0.42,0.78,0.43333333333333335,0.31333333333333335
0.58,0.28,0.68,0.18,0.14,0.08,0.64,0.46,0.8,0.4533333333333333,0.31333333333333335
0.58,0.3,0.68,0.26,0.14,0.08,0.66,0.54,0.78,0.45999999999999996,0.34
0.58,0.28,0.68,0.26,0.14,0.08,0.64,0.6,0.8,0.4533333333333333,0.34
0.58,0.3,0.68,0.2,0.12,0.08,0.64,0.66,0.78,0.4466666666666666,0.32
0.6,0.34,0.74,0.22,0.14,0.08,0.64,0.62,0.8,0.45999999999999996,0.3466666666666667
0.6,0.36,0.74,0.2,0.14,0.08,0.66,0.68,0.8,0.4666666666666666,0.34
