translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.3,0.22,0.26,0.06,0.08,0.02,0.18,0.06,0.36,0.18666666666666668,0.11333333333333334
0.36,0.22,0.26,0.14,0.1,0.04,0.16,0.06,0.24,0.20666666666666667,0.14666666666666667
0.32,0.22,0.24,0.1,0.1,0.04,0.14,0.06,0.3,0.18666666666666668,0.12666666666666665
0.3,0.22,0.22,0.12,0.1,0.02,0.18,0.04,0.08,0.19333333333333336,0.12
0.36,0.24,0.34,0.12,0.1,0.02,0.22,0.06,0.12,0.22666666666666666,0.16
0.3,0.24,0.3,0.12,0.12,0.02,0.26,0.06,0.1,0.22666666666666666,0.14666666666666667
0.46,0.26,0.46,0.14,0.18,0.04,0.24,0.06,0.24,0.29333333333333333,0.21333333333333337
0.5,0.34,0.44,0.12,0.12,0.04,0.34,0.06,0.26,0.32,0.20000000000000004
0.56,0.24,0.42,0.1,0.14,0.04,0.34,0.16,0.44,0.3466666666666667,0.18666666666666668
0.54,0.32,0.5,0.16,0.12,0.04,0.5,0.1,0.62,0.3866666666666667,0.23333333333333336
0.46,0.26,0.42,0.12,0.14,0.02,0.48,0.08,0.66,0.36000000000000004,0.18666666666666668
0.64,0.44,0.64,0.18,0.18,0.04,0.6,0.36,0.72,0.47333333333333333,0.2866666666666667
0.7,0.5,0.64,0.32,0.42,0.14,0.62,0.66,0.8,0.58,0.3666666666666667
0.7,0.58,0.68,0.3,0.44,0.18,0.6,0.68,0.82,0.58,0.38666666666666666
0.76,0.84,0.7,0.56,0.72,0.46,0.6,0.82,0.82,0.6933333333333334,0.5733333333333334
0.72,0.86,0.7,0.58,0.66,0.4,0.62,0.82,0.66,0.6666666666666666,0.5599999999999999
0.58,0.74,0.62,0.18,0.2,0.16,0.56,0.1,0.42,0.4466666666666667,0.32
0.22,0.72,0.26,0.02,0.0,0.0,0.28,0.0,0.14,0.16666666666666666,0.09333333333333334
0.08,0.58,0.18,0.04,0.0,0.0,0.2,0.0,0.1,0.09333333333333334,0.07333333333333333
0.02,0.12,0.04,0.02,0.0,0.0,0.06,0.0,0.0,0.02666666666666667,0.02
0.02,0.06,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.013333333333333334,0.006666666666666667
0.0,0.06,0.0,0.04,0.0,0.0,0.06,0.0,0.0,0.02,0.013333333333333334
0.0,0.08,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.02,0.006666666666666667
0.02,0.1,0.0,0.04,0.0,0.0,0.06,0.0,0.0,0.02666666666666667,0.013333333333333334
0.0,0.1,0.0,0.02,0.0,0.0,0.06,0.0,0.0,0.02,0.006666666666666667
0.02,0.08,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.02,0.006666666666666667
0.02,0.1,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.013333333333333334,0.013333333333333334
0.04,0.06,0.02,0.06,0.0,0.0,0.06,0.0,0.0,0.03333333333333333,0.02666666666666667
0.04,0.06,0.02,0.04,0.0,0.0,0.04,0.0,0.0,0.02666666666666667,0.02
0.02,0.08,0.02,0.02,0.0,0.02,0.04,0.0,0.0,0.02,0.02
0.02,0.08,0.02,0.02,0.02,0.02,0.04,0.0,0.0,0.02666666666666667,0.02
0.02,0.06,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.013333333333333334,0.013333333333333334
