translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.1,0.1,0.14,0.14,0.04,0.04,0.1,0.0,0.42,0.08,0.10666666666666667
0.1,0.12,0.12,0.14,0.04,0.04,0.08,0.0,0.36,0.07333333333333335,0.09999999999999999
0.12,0.14,0.16,0.16,0.04,0.08,0.12,0.02,0.38,0.09333333333333334,0.13333333333333333
0.14,0.14,0.3,0.18,0.04,0.08,0.16,0.02,0.42,0.11333333333333334,0.18666666666666665
0.4,0.12,0.5,0.18,0.04,0.08,0.46,0.0,0.26,0.3,0.2533333333333333
0.36,0.14,0.46,0.18,0.04,0.08,0.44,0.0,0.22,0.27999999999999997,0.24
0.34,0.18,0.54,0.16,0.04,0.08,0.44,0.02,0.36,0.2733333333333334,0.26
0.28,0.16,0.34,0.18,0.06,0.08,0.24,0.0,0.32,0.19333333333333336,0.19999999999999998
0.36,0.16,0.4,0.2,0.06,0.08,0.36,0.0,0.44,0.26,0.22666666666666668
0.36,0.18,0.34,0.2,0.06,0.08,0.26,0.0,0.56,0.22666666666666666,0.20666666666666667
0.38,0.22,0.34,0.22,0.06,0.08,0.26,0.0,0.6,0.2333333333333333,0.21333333333333335
0.18,0.24,0.16,0.22,0.06,0.08,0.08,0.0,0.68,0.10666666666666667,0.15333333333333335
0.68,0.54,0.82,0.32,0.1,0.12,0.74,0.12,0.8,0.5066666666666667,0.41999999999999993
0.7,0.32,0.84,0.88,0.8,0.74,0.76,0.68,0.8,0.7533333333333333,0.82
0.6,0.0,0.74,0.82,0.68,0.64,0.2,0.88,0.68,0.49333333333333335,0.7333333333333334
0.52,0.0,0.72,0.56,0.62,0.54,0.04,0.74,0.62,0.39333333333333337,0.6066666666666667
0.28,0.0,0.48,0.3,0.32,0.28,0.0,0.52,0.36,0.20000000000000004,0.35333333333333333
0.02,0.06,0.06,0.04,0.12,0.1,0.0,0.1,0.12,0.04666666666666666,0.06666666666666667
0.0,0.02,0.0,0.0,0.02,0.04,0.0,0.0,0.02,0.006666666666666667,0.013333333333333334
0.0,0.0,0.0,0.04,0.02,0.02,0.0,0.0,0.0,0.006666666666666667,0.02
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
