translation_fr_en,translation_es_en,translation_en_fr,translation_en_es,antonym,country-capital,translation_en_it,translation_it_en,present-past,to-eng,from-eng
0.22,0.12,0.18,0.1,0.2,0.16,0.06,0.2,0.02,0.17333333333333334,0.12
0.18,0.1,0.18,0.06,0.16,0.14,0.08,0.08,0.02,0.10666666666666667,0.12000000000000001
0.14,0.12,0.2,0.06,0.08,0.1,0.1,0.12,0.02,0.10666666666666667,0.14
0.16,0.14,0.22,0.1,0.06,0.1,0.06,0.12,0.02,0.12666666666666668,0.13999999999999999
0.22,0.2,0.18,0.06,0.12,0.16,0.1,0.18,0.14,0.15333333333333335,0.16
0.34,0.26,0.2,0.06,0.14,0.18,0.08,0.24,0.24,0.21333333333333335,0.18000000000000002
0.4,0.32,0.18,0.06,0.28,0.16,0.08,0.28,0.48,0.24666666666666667,0.19333333333333333
0.42,0.34,0.18,0.02,0.44,0.16,0.08,0.12,0.3,0.18666666666666668,0.19999999999999998
0.38,0.28,0.14,0.04,0.46,0.16,0.08,0.02,0.42,0.14666666666666667,0.16666666666666666
0.38,0.28,0.18,0.04,0.7,0.2,0.04,0.04,0.48,0.15333333333333332,0.16666666666666666
0.74,0.68,0.22,0.12,0.74,0.24,0.0,0.0,0.02,0.2866666666666667,0.3
0.74,0.68,0.26,0.08,0.74,0.28,0.0,0.0,0.0,0.2733333333333333,0.31333333333333335
0.58,0.54,0.28,0.08,0.78,0.22,0.0,0.0,0.0,0.21999999999999997,0.2733333333333334
0.78,0.76,0.3,0.0,0.02,0.6,0.02,0.0,0.0,0.26,0.36000000000000004
0.78,0.2,0.72,0.0,0.0,0.56,0.04,0.0,0.0,0.26,0.32
0.74,0.14,0.16,0.0,0.0,0.68,0.02,0.0,0.0,0.24666666666666667,0.10666666666666669
0.66,0.12,0.16,0.0,0.0,0.4,0.02,0.0,0.0,0.22,0.10000000000000002
0.32,0.08,0.08,0.0,0.0,0.12,0.02,0.0,0.0,0.10666666666666667,0.06
0.12,0.04,0.04,0.0,0.0,0.04,0.02,0.0,0.0,0.04,0.03333333333333333
0.02,0.02,0.04,0.0,0.0,0.02,0.02,0.0,0.0,0.006666666666666667,0.02666666666666667
0.02,0.02,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.006666666666666667,0.02
0.02,0.02,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.006666666666666667,0.02
0.0,0.02,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02
0.0,0.02,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02
0.02,0.02,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.006666666666666667,0.02
0.02,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334
0.02,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334
0.02,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334
0.02,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334
0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.013333333333333334
0.02,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334
0.02,0.02,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334
