translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.24,0.26,0.18,0.14,0.04,0.04,0.14,0.02,0.32,0.13999999999999999,0.12
0.26,0.28,0.16,0.2,0.04,0.06,0.14,0.02,0.34,0.14666666666666667,0.13999999999999999
0.26,0.28,0.18,0.2,0.06,0.06,0.2,0.02,0.28,0.17333333333333334,0.14666666666666667
0.24,0.28,0.18,0.2,0.06,0.06,0.18,0.02,0.26,0.16,0.14666666666666667
0.24,0.3,0.2,0.2,0.06,0.04,0.16,0.02,0.22,0.15333333333333332,0.14666666666666667
0.26,0.3,0.18,0.22,0.06,0.04,0.18,0.02,0.18,0.16666666666666666,0.14666666666666667
0.26,0.3,0.28,0.2,0.06,0.04,0.18,0.02,0.1,0.16666666666666666,0.17333333333333334
0.34,0.28,0.46,0.28,0.08,0.06,0.22,0.02,0.22,0.21333333333333335,0.26666666666666666
0.38,0.28,0.54,0.32,0.08,0.06,0.28,0.02,0.28,0.24666666666666667,0.3066666666666667
0.28,0.28,0.46,0.32,0.08,0.06,0.3,0.02,0.5,0.22,0.28
0.66,0.32,0.72,0.3,0.08,0.06,0.64,0.02,0.74,0.45999999999999996,0.36000000000000004
0.62,0.34,0.72,0.32,0.08,0.06,0.6,0.02,0.8,0.4333333333333333,0.3666666666666667
0.66,0.46,0.72,0.32,0.12,0.08,0.64,0.8,0.8,0.47333333333333333,0.37333333333333335
0.7,0.54,0.7,0.82,0.82,0.82,0.64,0.82,0.82,0.7200000000000001,0.7799999999999999
0.7,0.72,0.72,0.86,0.84,0.86,0.62,0.88,0.8,0.7200000000000001,0.8133333333333334
0.74,0.72,0.76,0.78,0.76,0.76,0.62,0.68,0.72,0.7066666666666667,0.7666666666666666
0.54,0.46,0.6,0.5,0.48,0.46,0.54,0.6,0.56,0.52,0.52
0.26,0.18,0.44,0.04,0.04,0.02,0.22,0.3,0.14,0.17333333333333334,0.16666666666666666
0.12,0.02,0.08,0.06,0.02,0.0,0.02,0.04,0.04,0.05333333333333332,0.04666666666666667
0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.013333333333333334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667
