translation_fr_en,translation_es_en,translation_en_fr,translation_en_es,antonym,country-capital,translation_en_it,translation_it_en,present-past,to-eng,from-eng
0.12,0.06,0.1,0.04,0.28,0.18,0.06,0.02,0.0,0.06,0.07333333333333333
0.14,0.06,0.14,0.06,0.28,0.22,0.06,0.02,0.0,0.07333333333333333,0.08666666666666667
0.14,0.08,0.12,0.06,0.28,0.22,0.06,0.02,0.0,0.07333333333333333,0.08666666666666667
0.14,0.1,0.18,0.04,0.22,0.22,0.06,0.04,0.0,0.07333333333333335,0.11333333333333334
0.18,0.16,0.16,0.06,0.24,0.2,0.06,0.12,0.02,0.12,0.12666666666666668
0.34,0.28,0.2,0.06,0.24,0.18,0.08,0.4,0.02,0.26666666666666666,0.18666666666666668
0.4,0.24,0.22,0.08,0.36,0.2,0.08,0.42,0.02,0.3,0.17999999999999997
0.36,0.24,0.24,0.1,0.54,0.06,0.1,0.24,0.02,0.2333333333333333,0.19333333333333333
0.3,0.14,0.28,0.12,0.62,0.04,0.1,0.06,0.02,0.16,0.17333333333333334
0.22,0.08,0.28,0.12,0.62,0.06,0.1,0.0,0.02,0.11333333333333333,0.15333333333333335
0.22,0.08,0.3,0.14,0.7,0.06,0.1,0.0,0.02,0.12,0.16
0.5,0.32,0.34,0.22,0.78,0.06,0.1,0.0,0.0,0.24,0.25333333333333335
0.54,0.36,0.36,0.24,0.78,0.06,0.1,0.0,0.0,0.26,0.2733333333333333
0.5,0.34,0.32,0.26,0.78,0.04,0.1,0.0,0.0,0.25333333333333335,0.25333333333333335
0.64,0.64,0.4,0.32,0.82,0.04,0.1,0.0,0.0,0.32,0.38000000000000006
0.66,0.66,0.64,0.58,0.82,0.08,0.04,0.0,0.0,0.41333333333333333,0.4466666666666667
0.62,0.62,0.6,0.56,0.82,0.08,0.04,0.0,0.0,0.39333333333333337,0.42
0.58,0.0,0.02,0.16,0.8,0.08,0.02,0.0,0.0,0.24666666666666667,0.013333333333333334
0.3,0.02,0.02,0.08,0.0,0.02,0.0,0.0,0.0,0.12666666666666668,0.013333333333333334
0.14,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.05333333333333334,0.006666666666666667
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.013333333333333334,0.0
0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.013333333333333334,0.0
0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.013333333333333334,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
