translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.14,0.2,0.16,0.06,0.06,0.04,0.08,0.0,0.26,0.09333333333333334,0.08666666666666667
0.2,0.22,0.14,0.08,0.06,0.06,0.1,0.0,0.24,0.12,0.09333333333333334
0.22,0.22,0.18,0.1,0.06,0.1,0.16,0.0,0.3,0.1466666666666667,0.12666666666666668
0.3,0.28,0.2,0.14,0.02,0.06,0.26,0.04,0.26,0.19333333333333336,0.13333333333333333
0.38,0.2,0.28,0.12,0.04,0.04,0.34,0.02,0.2,0.25333333333333335,0.14666666666666667
0.58,0.16,0.6,0.14,0.06,0.06,0.62,0.02,0.2,0.41999999999999993,0.26666666666666666
0.58,0.16,0.62,0.22,0.08,0.06,0.62,0.04,0.34,0.4266666666666666,0.3
0.58,0.06,0.52,0.24,0.1,0.06,0.64,0.06,0.44,0.43999999999999995,0.2733333333333334
0.62,0.08,0.44,0.24,0.08,0.06,0.2,0.08,0.5,0.3,0.24666666666666667
0.48,0.08,0.06,0.22,0.08,0.06,0.06,0.02,0.58,0.20666666666666664,0.11333333333333334
0.44,0.08,0.0,0.18,0.08,0.04,0.06,0.02,0.62,0.19333333333333336,0.07333333333333333
0.7,0.08,0.0,0.04,0.14,0.02,0.06,0.0,0.06,0.3,0.02
0.7,0.08,0.0,0.06,0.14,0.02,0.04,0.0,0.06,0.29333333333333333,0.02666666666666667
0.68,0.1,0.0,0.04,0.18,0.02,0.06,0.0,0.04,0.3066666666666667,0.02
0.68,0.08,0.0,0.04,0.18,0.02,0.1,0.0,0.04,0.32,0.02
0.68,0.1,0.0,0.04,0.18,0.0,0.08,0.0,0.02,0.31333333333333335,0.013333333333333334
0.64,0.14,0.0,0.02,0.2,0.0,0.06,0.0,0.02,0.30000000000000004,0.006666666666666667
0.6,0.12,0.0,0.04,0.16,0.0,0.04,0.0,0.0,0.26666666666666666,0.013333333333333334
0.44,0.02,0.0,0.02,0.12,0.0,0.04,0.0,0.0,0.20000000000000004,0.006666666666666667
0.26,0.02,0.0,0.02,0.08,0.0,0.02,0.0,0.0,0.12000000000000001,0.006666666666666667
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
