translation_fr_en,translation_es_en,translation_en_fr,translation_en_es,antonym,country-capital,translation_en_it,translation_it_en,present-past,to-eng,from-eng
0.24,0.3,0.26,0.14,0.36,0.22,0.06,0.28,0.04,0.22,0.2066666666666667
0.26,0.28,0.28,0.14,0.36,0.22,0.08,0.3,0.04,0.2333333333333333,0.21333333333333335
0.22,0.32,0.34,0.18,0.22,0.22,0.12,0.28,0.02,0.22666666666666668,0.26
0.28,0.34,0.38,0.18,0.26,0.2,0.1,0.36,0.02,0.2733333333333334,0.2733333333333333
0.3,0.4,0.36,0.16,0.26,0.18,0.1,0.44,0.0,0.3,0.2866666666666667
0.26,0.36,0.34,0.22,0.12,0.14,0.12,0.42,0.0,0.3,0.2733333333333333
0.3,0.42,0.34,0.18,0.26,0.2,0.1,0.4,0.0,0.29333333333333333,0.2866666666666667
0.28,0.46,0.34,0.18,0.46,0.18,0.1,0.38,0.0,0.28,0.3
0.24,0.3,0.38,0.16,0.5,0.16,0.08,0.3,0.0,0.2333333333333333,0.2533333333333333
0.38,0.42,0.38,0.2,0.58,0.18,0.12,0.3,0.02,0.2933333333333334,0.3066666666666667
0.4,0.46,0.4,0.22,0.54,0.16,0.12,0.44,0.02,0.35333333333333333,0.3266666666666667
0.38,0.5,0.4,0.1,0.24,0.18,0.12,0.44,0.02,0.30666666666666664,0.34
0.42,0.48,0.4,0.06,0.34,0.18,0.12,0.48,0.02,0.32,0.3333333333333333
0.4,0.48,0.42,0.02,0.24,0.16,0.12,0.48,0.02,0.3,0.34
0.4,0.06,0.06,0.04,0.3,0.18,0.12,0.5,0.02,0.3133333333333333,0.08
0.5,0.06,0.02,0.08,0.22,0.18,0.12,0.54,0.02,0.37333333333333335,0.06666666666666667
0.52,0.04,0.02,0.04,0.2,0.2,0.12,0.4,0.02,0.32,0.06
0.5,0.02,0.02,0.04,0.18,0.2,0.12,0.18,0.02,0.24,0.05333333333333334
0.5,0.02,0.0,0.04,0.18,0.24,0.12,0.02,0.02,0.18666666666666668,0.04666666666666666
0.34,0.0,0.0,0.0,0.2,0.26,0.12,0.02,0.02,0.12000000000000001,0.04
0.24,0.0,0.0,0.0,0.22,0.24,0.1,0.02,0.02,0.08666666666666667,0.03333333333333333
0.28,0.0,0.0,0.02,0.16,0.26,0.02,0.02,0.02,0.10666666666666669,0.006666666666666667
0.6,0.04,0.0,0.02,0.0,0.64,0.0,0.0,0.02,0.20666666666666667,0.013333333333333334
0.62,0.0,0.0,0.02,0.0,0.66,0.0,0.0,0.02,0.21333333333333335,0.0
0.62,0.04,0.0,0.0,0.0,0.78,0.0,0.0,0.02,0.20666666666666667,0.013333333333333334
0.54,0.02,0.0,0.0,0.0,0.78,0.0,0.0,0.02,0.18000000000000002,0.006666666666666667
0.06,0.0,0.02,0.0,0.0,0.1,0.0,0.0,0.02,0.02,0.006666666666666667
0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.14,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.04666666666666667
0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.006666666666666667
0.0,0.0,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.006666666666666667
