translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.3,0.22,0.26,0.12,0.06,0.04,0.38,0.02,0.38,0.24666666666666667,0.13999999999999999
0.32,0.22,0.3,0.12,0.06,0.08,0.42,0.02,0.34,0.26666666666666666,0.16666666666666666
0.42,0.2,0.34,0.16,0.06,0.08,0.44,0.02,0.28,0.30666666666666664,0.19333333333333333
0.38,0.2,0.42,0.1,0.08,0.08,0.44,0.02,0.3,0.3,0.19999999999999998
0.42,0.14,0.52,0.1,0.0,0.1,0.46,0.04,0.24,0.29333333333333333,0.24
0.48,0.16,0.52,0.12,0.06,0.08,0.48,0.02,0.14,0.34,0.24
0.38,0.2,0.56,0.16,0.04,0.06,0.56,0.08,0.16,0.32666666666666666,0.26
0.46,0.18,0.58,0.14,0.06,0.08,0.54,0.04,0.26,0.35333333333333333,0.26666666666666666
0.44,0.18,0.36,0.1,0.02,0.06,0.5,0.08,0.42,0.32,0.17333333333333334
0.44,0.2,0.54,0.14,0.1,0.06,0.48,0.02,0.48,0.34,0.24666666666666667
0.46,0.22,0.62,0.16,0.1,0.06,0.54,0.0,0.5,0.3666666666666667,0.28
0.42,0.22,0.66,0.12,0.1,0.06,0.62,0.02,0.64,0.38000000000000006,0.28
0.52,0.22,0.56,0.22,0.1,0.06,0.64,0.0,0.66,0.42,0.28
0.52,0.22,0.58,0.24,0.12,0.1,0.54,0.0,0.66,0.39333333333333337,0.30666666666666664
0.56,0.16,0.64,0.24,0.1,0.12,0.6,0.0,0.64,0.42,0.3333333333333333
0.78,0.3,0.7,0.22,0.16,0.1,0.66,0.12,0.7,0.5333333333333333,0.34
0.74,0.24,0.52,0.24,0.14,0.14,0.64,0.1,0.62,0.5066666666666667,0.3
0.76,0.22,0.16,0.2,0.18,0.14,0.5,0.06,0.72,0.48,0.16666666666666666
0.76,0.14,0.02,0.24,0.18,0.16,0.28,0.06,0.68,0.4066666666666667,0.14
0.56,0.12,0.02,0.2,0.14,0.16,0.02,0.06,0.64,0.24000000000000002,0.12666666666666668
0.4,0.1,0.0,0.22,0.16,0.16,0.0,0.02,0.6,0.18666666666666668,0.12666666666666668
0.44,0.1,0.0,0.26,0.16,0.1,0.02,0.0,0.76,0.20666666666666667,0.12
0.8,0.22,0.0,0.24,0.46,0.24,0.04,0.02,0.72,0.43333333333333335,0.16
0.76,0.22,0.0,0.18,0.38,0.18,0.04,0.02,0.72,0.39333333333333337,0.12
0.76,0.24,0.0,0.06,0.38,0.0,0.04,0.04,0.7,0.39333333333333337,0.02
0.56,0.26,0.0,0.02,0.16,0.02,0.02,0.02,0.36,0.2466666666666667,0.013333333333333334
0.16,0.1,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.06,0.006666666666666667
0.04,0.04,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.02666666666666667,0.0
0.02,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
