translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.14,0.22,0.06,0.08,0.02,0.02,0.12,0.04,0.38,0.09333333333333334,0.05333333333333334
0.12,0.22,0.06,0.08,0.02,0.02,0.14,0.02,0.38,0.09333333333333334,0.05333333333333334
0.12,0.2,0.06,0.08,0.02,0.02,0.1,0.02,0.34,0.08,0.05333333333333334
0.1,0.2,0.04,0.1,0.02,0.02,0.12,0.04,0.32,0.08,0.05333333333333334
0.1,0.2,0.06,0.12,0.02,0.02,0.12,0.02,0.34,0.08,0.06666666666666667
0.1,0.18,0.06,0.1,0.0,0.02,0.12,0.02,0.34,0.07333333333333333,0.06
0.12,0.24,0.06,0.1,0.0,0.02,0.12,0.04,0.28,0.08,0.06
0.12,0.26,0.06,0.08,0.0,0.0,0.12,0.04,0.26,0.08,0.04666666666666667
0.1,0.24,0.04,0.08,0.0,0.02,0.12,0.04,0.26,0.07333333333333333,0.04666666666666666
0.06,0.24,0.06,0.08,0.02,0.04,0.12,0.06,0.26,0.06666666666666667,0.060000000000000005
0.06,0.24,0.06,0.08,0.02,0.02,0.12,0.06,0.26,0.06666666666666667,0.05333333333333334
0.06,0.24,0.06,0.12,0.02,0.04,0.1,0.12,0.22,0.06,0.07333333333333333
0.06,0.2,0.08,0.1,0.02,0.04,0.1,0.26,0.22,0.06,0.07333333333333333
0.08,0.2,0.08,0.12,0.0,0.04,0.1,0.22,0.22,0.06,0.08
0.08,0.22,0.1,0.12,0.0,0.04,0.1,0.22,0.22,0.06,0.08666666666666667
0.1,0.24,0.08,0.12,0.0,0.04,0.1,0.26,0.24,0.06666666666666667,0.08
0.1,0.22,0.08,0.12,0.0,0.04,0.1,0.38,0.24,0.06666666666666667,0.08
0.1,0.24,0.08,0.12,0.0,0.04,0.1,0.3,0.34,0.06666666666666667,0.08
0.1,0.2,0.08,0.14,0.0,0.04,0.1,0.38,0.36,0.06666666666666667,0.08666666666666667
0.12,0.22,0.06,0.12,0.0,0.04,0.1,0.44,0.38,0.07333333333333333,0.07333333333333333
0.16,0.2,0.04,0.14,0.02,0.04,0.16,0.4,0.56,0.11333333333333333,0.07333333333333335
0.16,0.18,0.1,0.14,0.02,0.04,0.18,0.26,0.58,0.12,0.09333333333333334
0.46,0.26,0.58,0.22,0.06,0.04,0.62,0.38,0.64,0.38000000000000006,0.27999999999999997
0.5,0.24,0.64,0.2,0.1,0.04,0.6,0.56,0.7,0.39999999999999997,0.2933333333333334
0.4,0.42,0.58,0.16,0.04,0.04,0.58,0.4,0.74,0.34,0.26
0.56,0.44,0.68,0.18,0.06,0.06,0.74,0.3,0.8,0.45333333333333337,0.3066666666666667
0.54,0.42,0.7,0.18,0.06,0.06,0.76,0.24,0.82,0.45333333333333337,0.3133333333333333
0.52,0.42,0.6,0.2,0.06,0.04,0.72,0.16,0.82,0.43333333333333335,0.28
0.74,0.46,0.82,0.38,0.32,0.1,0.76,0.26,0.78,0.6066666666666667,0.43333333333333335
0.76,0.6,0.84,0.84,0.8,0.66,0.86,0.64,0.82,0.8066666666666666,0.7799999999999999
0.74,0.8,0.86,0.8,0.78,0.66,0.84,0.82,0.82,0.7866666666666666,0.7733333333333334
0.76,0.72,0.84,0.84,0.78,0.62,0.8,0.94,0.8,0.7799999999999999,0.7666666666666666
0.7,0.64,0.78,0.7,0.8,0.58,0.78,0.92,0.76,0.7600000000000001,0.6866666666666666
0.56,0.66,0.68,0.64,0.74,0.48,0.68,0.92,0.54,0.66,0.6
0.3,0.14,0.26,0.38,0.52,0.26,0.38,0.88,0.22,0.4000000000000001,0.3
0.16,0.04,0.1,0.26,0.34,0.26,0.26,0.8,0.12,0.25333333333333335,0.20666666666666667
0.04,0.02,0.02,0.1,0.14,0.08,0.16,0.38,0.04,0.11333333333333334,0.06666666666666667
0.0,0.02,0.0,0.06,0.0,0.08,0.04,0.16,0.0,0.013333333333333334,0.04666666666666667
0.0,0.04,0.0,0.08,0.0,0.08,0.04,0.0,0.0,0.013333333333333334,0.05333333333333334
0.02,0.04,0.0,0.1,0.0,0.06,0.04,0.0,0.0,0.02,0.05333333333333334
0.02,0.02,0.0,0.1,0.0,0.08,0.04,0.0,0.0,0.02,0.06
0.0,0.02,0.0,0.1,0.0,0.08,0.02,0.0,0.0,0.006666666666666667,0.06
0.0,0.04,0.0,0.1,0.0,0.06,0.04,0.0,0.0,0.013333333333333334,0.05333333333333334
0.0,0.02,0.0,0.12,0.0,0.06,0.02,0.0,0.0,0.006666666666666667,0.06
0.0,0.02,0.0,0.08,0.0,0.06,0.04,0.0,0.0,0.013333333333333334,0.04666666666666667
0.0,0.02,0.0,0.08,0.0,0.06,0.02,0.0,0.0,0.006666666666666667,0.04666666666666667
0.0,0.02,0.0,0.06,0.0,0.06,0.04,0.0,0.0,0.013333333333333334,0.04
0.0,0.08,0.0,0.04,0.0,0.06,0.04,0.0,0.0,0.013333333333333334,0.03333333333333333
