translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.2,0.22,0.12,0.1,0.04,0.02,0.18,0.02,0.3,0.14,0.08
0.24,0.22,0.1,0.1,0.04,0.0,0.14,0.02,0.3,0.13999999999999999,0.06666666666666667
0.2,0.2,0.1,0.08,0.04,0.0,0.12,0.02,0.34,0.12,0.06
0.26,0.2,0.1,0.06,0.02,0.0,0.18,0.02,0.34,0.15333333333333335,0.05333333333333334
0.24,0.22,0.1,0.1,0.02,0.02,0.18,0.02,0.34,0.14666666666666667,0.07333333333333333
0.24,0.26,0.1,0.06,0.02,0.02,0.2,0.02,0.3,0.15333333333333335,0.06
0.28,0.3,0.18,0.08,0.04,0.02,0.24,0.02,0.32,0.18666666666666668,0.09333333333333334
0.3,0.26,0.34,0.08,0.04,0.02,0.38,0.02,0.14,0.24,0.1466666666666667
0.38,0.28,0.4,0.16,0.04,0.02,0.44,0.06,0.1,0.2866666666666667,0.19333333333333336
0.36,0.3,0.4,0.14,0.04,0.02,0.44,0.08,0.06,0.27999999999999997,0.18666666666666668
0.4,0.26,0.44,0.22,0.16,0.02,0.42,0.12,0.06,0.32666666666666666,0.22666666666666668
0.32,0.24,0.46,0.18,0.12,0.02,0.38,0.08,0.08,0.2733333333333334,0.22
0.28,0.26,0.4,0.12,0.12,0.02,0.38,0.1,0.1,0.26,0.18000000000000002
0.28,0.28,0.38,0.14,0.12,0.02,0.38,0.12,0.16,0.26,0.18000000000000002
0.24,0.28,0.36,0.16,0.06,0.02,0.4,0.06,0.12,0.2333333333333333,0.18000000000000002
0.3,0.26,0.5,0.2,0.1,0.02,0.5,0.08,0.22,0.3,0.24
0.32,0.22,0.46,0.2,0.1,0.04,0.08,0.06,0.16,0.16666666666666666,0.23333333333333336
0.18,0.22,0.4,0.16,0.1,0.02,0.04,0.08,0.54,0.10666666666666667,0.19333333333333336
0.3,0.24,0.56,0.22,0.14,0.02,0.04,0.02,0.5,0.16,0.26666666666666666
0.36,0.26,0.56,0.16,0.1,0.04,0.06,0.02,0.52,0.17333333333333334,0.25333333333333335
0.38,0.3,0.64,0.2,0.14,0.04,0.04,0.04,0.64,0.18666666666666668,0.2933333333333334
0.54,0.36,0.64,0.4,0.24,0.08,0.06,0.24,0.76,0.28,0.37333333333333335
0.58,0.5,0.76,0.52,0.34,0.08,0.04,0.2,0.76,0.32,0.45333333333333337
0.52,0.48,0.72,0.36,0.26,0.08,0.04,0.04,0.74,0.2733333333333334,0.3866666666666667
0.36,0.44,0.58,0.36,0.16,0.08,0.04,0.02,0.7,0.18666666666666668,0.34
0.68,0.46,0.72,0.44,0.46,0.14,0.04,0.1,0.76,0.39333333333333337,0.4333333333333333
0.48,0.7,0.56,0.28,0.26,0.04,0.04,0.1,0.52,0.26,0.2933333333333334
0.44,0.56,0.4,0.32,0.36,0.08,0.04,0.1,0.34,0.28,0.26666666666666666
0.18,0.68,0.18,0.18,0.16,0.02,0.0,0.12,0.2,0.11333333333333333,0.12666666666666668
0.18,0.58,0.06,0.18,0.16,0.0,0.0,0.12,0.18,0.11333333333333333,0.08
0.02,0.52,0.0,0.06,0.04,0.0,0.0,0.04,0.02,0.02,0.02
0.0,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02
0.0,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
0.0,0.08,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.03333333333333333
0.0,0.04,0.0,0.08,0.0,0.0,0.02,0.0,0.0,0.006666666666666667,0.02666666666666667
0.0,0.06,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.02666666666666667
