translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.1,0.14,0.16,0.06,0.0,0.0,0.1,0.0,0.18,0.06666666666666667,0.07333333333333333
0.16,0.14,0.16,0.1,0.02,0.0,0.14,0.02,0.14,0.10666666666666667,0.08666666666666667
0.16,0.14,0.12,0.1,0.04,0.0,0.22,0.02,0.12,0.14,0.07333333333333333
0.22,0.16,0.2,0.1,0.04,0.0,0.3,0.02,0.12,0.18666666666666668,0.10000000000000002
0.22,0.14,0.2,0.14,0.04,0.02,0.28,0.02,0.12,0.18000000000000002,0.12000000000000001
0.22,0.12,0.26,0.16,0.02,0.02,0.34,0.02,0.1,0.19333333333333336,0.1466666666666667
0.24,0.16,0.3,0.2,0.04,0.02,0.4,0.04,0.1,0.22666666666666666,0.17333333333333334
0.24,0.14,0.26,0.18,0.04,0.02,0.38,0.06,0.08,0.21999999999999997,0.15333333333333335
0.16,0.14,0.14,0.2,0.04,0.04,0.22,0.04,0.04,0.14,0.12666666666666668
0.2,0.14,0.24,0.2,0.04,0.04,0.2,0.06,0.04,0.1466666666666667,0.16
0.2,0.14,0.2,0.18,0.04,0.04,0.3,0.1,0.16,0.18000000000000002,0.13999999999999999
0.14,0.12,0.14,0.2,0.04,0.02,0.28,0.06,0.16,0.15333333333333335,0.12000000000000001
0.12,0.14,0.12,0.2,0.04,0.02,0.22,0.02,0.1,0.12666666666666668,0.11333333333333334
0.08,0.14,0.1,0.2,0.04,0.04,0.18,0.02,0.14,0.09999999999999999,0.11333333333333334
0.12,0.14,0.1,0.2,0.04,0.04,0.22,0.04,0.32,0.12666666666666668,0.11333333333333334
0.72,0.18,0.84,0.52,0.38,0.22,0.76,0.26,0.76,0.62,0.5266666666666666
0.62,0.22,0.8,0.32,0.6,0.26,0.74,0.48,0.76,0.6533333333333333,0.46
0.62,0.66,0.66,0.22,0.54,0.18,0.74,0.92,0.66,0.6333333333333334,0.35333333333333333
0.46,0.62,0.36,0.28,0.44,0.24,0.34,0.82,0.48,0.41333333333333333,0.29333333333333333
0.2,0.62,0.12,0.16,0.2,0.12,0.04,0.76,0.3,0.14666666666666667,0.13333333333333333
0.18,0.58,0.04,0.08,0.06,0.1,0.02,0.58,0.28,0.08666666666666667,0.07333333333333333
0.0,0.26,0.02,0.06,0.0,0.04,0.02,0.0,0.04,0.006666666666666667,0.04
0.02,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.0,0.013333333333333334,0.02
0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667
0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667
0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334
