translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.08,0.28,0.1,0.08,0.02,0.02,0.18,0.02,0.18,0.09333333333333334,0.06666666666666667
0.08,0.28,0.12,0.06,0.02,0.06,0.18,0.0,0.18,0.09333333333333334,0.08
0.06,0.28,0.08,0.04,0.02,0.06,0.18,0.0,0.18,0.08666666666666667,0.06
0.06,0.28,0.08,0.08,0.02,0.06,0.18,0.02,0.18,0.08666666666666667,0.07333333333333333
0.06,0.28,0.06,0.06,0.02,0.02,0.16,0.0,0.16,0.08,0.04666666666666666
0.06,0.28,0.06,0.06,0.02,0.06,0.16,0.0,0.16,0.08,0.06
0.08,0.28,0.06,0.08,0.02,0.06,0.14,0.02,0.16,0.08,0.06666666666666667
0.06,0.28,0.06,0.08,0.02,0.04,0.14,0.02,0.18,0.07333333333333335,0.060000000000000005
0.04,0.28,0.04,0.08,0.02,0.06,0.14,0.02,0.2,0.06666666666666667,0.06
0.08,0.28,0.04,0.06,0.02,0.06,0.14,0.02,0.26,0.08,0.05333333333333334
0.08,0.28,0.04,0.06,0.02,0.06,0.14,0.02,0.2,0.08,0.05333333333333334
0.08,0.28,0.06,0.08,0.02,0.08,0.16,0.02,0.18,0.08666666666666667,0.07333333333333335
0.08,0.28,0.06,0.08,0.04,0.04,0.16,0.04,0.18,0.09333333333333334,0.060000000000000005
0.08,0.28,0.08,0.1,0.04,0.04,0.16,0.04,0.1,0.09333333333333334,0.07333333333333333
0.12,0.3,0.1,0.12,0.02,0.04,0.14,0.04,0.04,0.09333333333333334,0.08666666666666667
0.12,0.3,0.08,0.12,0.04,0.04,0.18,0.04,0.08,0.11333333333333333,0.08
0.14,0.28,0.08,0.12,0.04,0.04,0.18,0.04,0.1,0.12,0.08
0.18,0.3,0.08,0.12,0.04,0.02,0.18,0.04,0.1,0.13333333333333333,0.07333333333333333
0.18,0.34,0.12,0.12,0.04,0.04,0.18,0.1,0.14,0.13333333333333333,0.09333333333333332
0.18,0.34,0.12,0.12,0.02,0.04,0.22,0.1,0.22,0.13999999999999999,0.09333333333333332
0.18,0.34,0.16,0.1,0.04,0.04,0.24,0.06,0.22,0.15333333333333332,0.09999999999999999
0.2,0.3,0.16,0.12,0.02,0.06,0.28,0.06,0.2,0.16666666666666666,0.11333333333333334
0.22,0.3,0.18,0.12,0.02,0.04,0.32,0.08,0.26,0.18666666666666668,0.11333333333333333
0.26,0.28,0.32,0.12,0.04,0.06,0.42,0.12,0.22,0.24,0.16666666666666666
0.3,0.28,0.42,0.1,0.04,0.06,0.52,0.08,0.28,0.2866666666666667,0.19333333333333336
0.38,0.28,0.5,0.12,0.04,0.06,0.54,0.1,0.38,0.32,0.22666666666666666
0.4,0.34,0.5,0.12,0.04,0.06,0.54,0.14,0.38,0.32666666666666666,0.22666666666666666
0.4,0.34,0.5,0.14,0.04,0.06,0.56,0.16,0.44,0.3333333333333333,0.2333333333333333
0.38,0.36,0.46,0.14,0.04,0.06,0.52,0.16,0.48,0.3133333333333333,0.22000000000000006
0.4,0.36,0.54,0.14,0.04,0.06,0.52,0.26,0.5,0.32,0.24666666666666667
0.42,0.4,0.5,0.14,0.04,0.02,0.52,0.38,0.5,0.32666666666666666,0.22
0.6,0.4,0.64,0.14,0.04,0.02,0.52,0.52,0.7,0.3866666666666667,0.26666666666666666
0.52,0.4,0.62,0.18,0.04,0.02,0.54,0.52,0.72,0.3666666666666667,0.2733333333333334
0.52,0.44,0.6,0.18,0.04,0.02,0.54,0.52,0.74,0.3666666666666667,0.26666666666666666
0.52,0.44,0.56,0.18,0.04,0.02,0.54,0.54,0.72,0.3666666666666667,0.25333333333333335
0.52,0.42,0.56,0.16,0.04,0.02,0.54,0.54,0.72,0.3666666666666667,0.2466666666666667
0.52,0.42,0.58,0.16,0.04,0.02,0.54,0.54,0.7,0.3666666666666667,0.25333333333333335
0.48,0.44,0.6,0.14,0.04,0.02,0.54,0.54,0.68,0.35333333333333333,0.25333333333333335
0.48,0.44,0.58,0.14,0.04,0.02,0.54,0.52,0.68,0.35333333333333333,0.24666666666666667
0.48,0.44,0.6,0.14,0.04,0.02,0.54,0.54,0.68,0.35333333333333333,0.25333333333333335
0.48,0.44,0.56,0.14,0.04,0.02,0.54,0.54,0.66,0.35333333333333333,0.24000000000000002
0.5,0.46,0.56,0.14,0.04,0.02,0.56,0.52,0.68,0.3666666666666667,0.24000000000000002
0.5,0.46,0.6,0.14,0.04,0.02,0.56,0.5,0.68,0.3666666666666667,0.25333333333333335
0.48,0.46,0.6,0.14,0.04,0.02,0.58,0.48,0.68,0.3666666666666667,0.25333333333333335
0.48,0.44,0.58,0.14,0.04,0.02,0.58,0.5,0.66,0.3666666666666667,0.24666666666666667
0.5,0.48,0.64,0.14,0.04,0.02,0.56,0.46,0.64,0.3666666666666667,0.26666666666666666
0.48,0.5,0.54,0.16,0.04,0.02,0.5,0.46,0.66,0.34,0.24000000000000002
0.42,0.5,0.54,0.18,0.04,0.02,0.52,0.54,0.7,0.32666666666666666,0.24666666666666667
0.42,0.54,0.58,0.18,0.04,0.02,0.5,0.6,0.72,0.32,0.26
0.4,0.54,0.5,0.14,0.04,0.02,0.48,0.64,0.7,0.30666666666666664,0.22
0.36,0.58,0.4,0.2,0.04,0.02,0.46,0.62,0.7,0.2866666666666667,0.2066666666666667
0.32,0.62,0.34,0.18,0.04,0.02,0.42,0.38,0.7,0.26,0.18000000000000002
0.36,0.7,0.3,0.18,0.04,0.04,0.38,0.36,0.78,0.26,0.17333333333333334
0.38,0.66,0.28,0.6,0.34,0.28,0.32,0.3,0.78,0.3466666666666667,0.3866666666666667
0.54,0.7,0.5,0.8,0.66,0.48,0.52,0.26,0.76,0.5733333333333334,0.5933333333333334
0.74,0.72,0.64,0.86,0.78,0.72,0.54,0.36,0.76,0.6866666666666666,0.7399999999999999
0.72,0.74,0.72,0.86,0.78,0.7,0.58,0.26,0.74,0.6933333333333334,0.7600000000000001
0.74,0.74,0.86,0.84,0.78,0.7,0.72,0.34,0.82,0.7466666666666667,0.7999999999999999
0.74,0.78,0.9,0.88,0.82,0.74,0.74,0.82,0.84,0.7666666666666666,0.84
0.72,0.74,0.9,0.84,0.8,0.72,0.78,0.96,0.8,0.7666666666666666,0.82
0.72,0.52,0.86,0.78,0.78,0.7,0.76,0.98,0.74,0.7533333333333333,0.7799999999999999
0.72,0.4,0.86,0.72,0.78,0.7,0.78,0.96,0.72,0.7600000000000001,0.7600000000000001
0.38,0.08,0.44,0.44,0.52,0.38,0.48,0.92,0.48,0.45999999999999996,0.42
0.3,0.04,0.26,0.28,0.34,0.2,0.36,0.88,0.26,0.3333333333333333,0.24666666666666667
0.24,0.02,0.14,0.28,0.28,0.18,0.34,0.78,0.16,0.2866666666666667,0.20000000000000004
0.0,0.02,0.04,0.12,0.0,0.06,0.02,0.2,0.04,0.006666666666666667,0.07333333333333333
0.0,0.02,0.02,0.1,0.0,0.04,0.02,0.12,0.02,0.006666666666666667,0.05333333333333334
0.0,0.02,0.0,0.08,0.0,0.04,0.02,0.02,0.0,0.006666666666666667,0.04
0.0,0.0,0.0,0.1,0.0,0.04,0.02,0.02,0.0,0.006666666666666667,0.04666666666666667
0.0,0.0,0.0,0.1,0.0,0.04,0.02,0.02,0.0,0.006666666666666667,0.04666666666666667
0.0,0.0,0.0,0.1,0.0,0.04,0.02,0.0,0.0,0.006666666666666667,0.04666666666666667
0.0,0.0,0.0,0.08,0.0,0.04,0.04,0.0,0.0,0.013333333333333334,0.04
0.0,0.0,0.0,0.06,0.0,0.02,0.04,0.0,0.0,0.013333333333333334,0.02666666666666667
0.0,0.0,0.0,0.1,0.0,0.04,0.04,0.0,0.0,0.013333333333333334,0.04666666666666667
0.0,0.0,0.0,0.08,0.0,0.06,0.04,0.0,0.0,0.013333333333333334,0.04666666666666667
0.0,0.0,0.0,0.06,0.0,0.02,0.04,0.0,0.0,0.013333333333333334,0.02666666666666667
0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.013333333333333334,0.02666666666666667
0.0,0.0,0.0,0.08,0.0,0.06,0.04,0.0,0.0,0.013333333333333334,0.04666666666666667
0.0,0.02,0.0,0.08,0.0,0.06,0.04,0.0,0.0,0.013333333333333334,0.04666666666666667
0.0,0.04,0.0,0.04,0.0,0.08,0.04,0.0,0.0,0.013333333333333334,0.04
