translation_fr_en,country-capital,translation_es_en,translation_en_fr,translation_en_es,translation_en_it,translation_it_en,present-past,antonym,to-eng,from-eng
0.08,0.16,0.08,0.1,0.0,0.04,0.12,0.02,0.26,0.06666666666666667,0.07333333333333333
0.1,0.16,0.08,0.1,0.02,0.04,0.14,0.04,0.24,0.08666666666666667,0.07333333333333333
0.14,0.28,0.06,0.12,0.04,0.04,0.24,0.04,0.18,0.14,0.07333333333333333
0.1,0.26,0.08,0.1,0.04,0.08,0.3,0.02,0.2,0.14666666666666667,0.08666666666666667
0.1,0.26,0.12,0.08,0.04,0.08,0.18,0.02,0.2,0.10666666666666667,0.09333333333333334
0.12,0.32,0.08,0.12,0.04,0.04,0.14,0.12,0.14,0.10000000000000002,0.08
0.12,0.28,0.14,0.1,0.02,0.04,0.2,0.1,0.12,0.11333333333333333,0.09333333333333334
0.1,0.26,0.14,0.1,0.02,0.0,0.2,0.14,0.06,0.10666666666666667,0.08
0.16,0.3,0.18,0.1,0.02,0.02,0.38,0.28,0.14,0.18666666666666668,0.10000000000000002
0.16,0.24,0.22,0.06,0.04,0.02,0.26,0.5,0.3,0.15333333333333335,0.10000000000000002
0.16,0.16,0.28,0.06,0.04,0.02,0.28,0.52,0.4,0.16,0.12000000000000001
0.22,0.02,0.32,0.06,0.06,0.02,0.08,0.42,0.42,0.12000000000000001,0.13333333333333333
0.34,0.02,0.14,0.08,0.08,0.0,0.1,0.28,0.3,0.17333333333333334,0.07333333333333335
0.18,0.02,0.1,0.0,0.02,0.0,0.1,0.0,0.1,0.09999999999999999,0.03333333333333333
0.06,0.02,0.08,0.0,0.02,0.0,0.06,0.0,0.12,0.04666666666666667,0.02666666666666667
0.08,0.02,0.06,0.0,0.0,0.0,0.02,0.0,0.1,0.03333333333333333,0.02
0.08,0.02,0.08,0.0,0.0,0.0,0.02,0.0,0.04,0.03333333333333333,0.02666666666666667
0.06,0.02,0.12,0.02,0.0,0.0,0.04,0.02,0.0,0.03333333333333333,0.04666666666666666
0.12,0.0,0.08,0.02,0.0,0.0,0.06,0.02,0.02,0.06,0.03333333333333333
0.24,0.0,0.14,0.02,0.0,0.0,0.08,0.02,0.02,0.10666666666666667,0.05333333333333334
0.28,0.02,0.08,0.02,0.0,0.0,0.08,0.0,0.0,0.12000000000000001,0.03333333333333333
0.24,0.0,0.02,0.02,0.0,0.0,0.04,0.0,0.0,0.09333333333333332,0.013333333333333334
0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.013333333333333334,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667
